strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,8,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,42,10,videos/09_01_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,43,10,videos/09_01_1.mp4,Is the first push stronger than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,44,11,videos/09_02_0.mp4,Does the toy car travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,45,11,videos/09_02_1.mp4,Does the toy car travel farther in the second push compared to the first?,no,"Based on the images provided, the toy car travels a significant distance across the table in the first sequence (images 1-4). In the second sequence (images 5-8), the car barely moves after being pushed. Therefore, it does not travel farther in the second push.

No",no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,46,11,videos/09_02_0.mp4,Does the toy car travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,47,11,videos/09_02_1.mp4,Does the toy car travel farther in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,48,12,videos/09_02_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,49,12,videos/09_02_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,50,12,videos/09_02_0.mp4,Is the first push stronger than the second one?,no,"Based on the images provided, the first push is not stronger than the second one.

In the first sequence (images 1-3), the wooden block stays on top of the blue car, indicating a relatively gentle push. In the second sequence (images 5-8), the block falls off the back of the car, which suggests a stronger, more sudden push that caused the car to accelerate faster than the block could keep up with due to inertia.

Therefore, the answer is **No**.",,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,51,12,videos/09_02_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,52,13,videos/09_03_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,53,13,videos/09_03_1.mp4,Does the ball travel farther in the second push compared to the first?,no,"Based on the visual evidence in the images, the ruler in the final image (which appears to be the second push) has significantly more motion blur than in the earlier images of the first push. This indicates a much faster and harder swing, which would cause the ball to travel farther.

Yes",yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,54,13,videos/09_03_0.mp4,Does the ball travel farther in the first push compared to the second?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,55,13,videos/09_03_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,"Based on the images provided, in the first push, the ball rolls across the table and falls onto the floor in the distance. In the second push, the ball is hit but remains on the table. Therefore, the ball travels farther in the first push.

Yes",yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,56,14,videos/09_03_0.mp4,Is the first push weaker than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,57,14,videos/09_03_1.mp4,Is the first push weaker than the second one?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,58,14,videos/09_03_0.mp4,Is the first push stronger than the second one?,no,"Based on the images provided, there is only one push shown. Therefore, it is not possible to compare a first push to a second one.

No.",no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,59,14,videos/09_03_1.mp4,Is the first push stronger than the second one?,yes,"Based on the visual evidence, particularly the motion blur of the ruler, the second swing (shown in the last image) appears to be much faster and more forceful than the first swing. Therefore, the first push is not stronger than the second one.

**No**",,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,60,15,videos/09_04_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,61,15,videos/09_04_1.mp4,Does the ball travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,62,15,videos/09_04_0.mp4,Does the ball travel farther in the first push compared to the second?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,63,15,videos/09_04_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,64,16,videos/09_04_0.mp4,Is the first push weaker than the second one?,yes,"Based on the sequence of events where the ball is eventually flicked with enough force to fly off the table and land on the floor, it is highly likely that the initial push was weaker.

Yes",yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,65,16,videos/09_04_1.mp4,Is the first push weaker than the second one?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,66,16,videos/09_04_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,67,16,videos/09_04_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,68,17,videos/09_04_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,69,17,videos/09_04_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,70,17,videos/09_04_0.mp4,Does the ball travel faster in the first push compared to the second?,no,"Based on the visual evidence of the surfaces, the ball is on a smooth, hard table during the first part of its motion and on a textured carpet later. A ball will generally travel faster and experience less friction on a smooth surface like a table compared to a rougher surface like a carpet.

Yes",yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,71,17,videos/09_04_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,72,18,videos/09_05_0.mp4,Does the ball that starts closer to the camera roll further?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,73,18,videos/09_05_1.mp4,Does the ball that starts closer to the camera roll further?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,74,18,videos/09_05_0.mp4,Does the ball that starts farther from the camera roll further?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,75,18,videos/09_05_1.mp4,Does the ball that starts farther from the camera roll further?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,76,19,videos/09_05_0.mp4,Is the ball that starts closer to the camera pushed harder?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,77,19,videos/09_05_1.mp4,Is the ball that starts closer to the camera pushed harder?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,78,19,videos/09_05_0.mp4,Is the ball that starts further from the camera pushed harder?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,79,19,videos/09_05_1.mp4,Is the ball that starts further from the camera pushed harder?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,80,20,videos/09_06_0.mp4,"From the camera's point of view, does the right disk move further?",yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,81,20,videos/09_06_1.mp4,"From the camera's point of view, does the right disk move further?",no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,82,20,videos/09_06_0.mp4,"From the camera's point of view, does the left disk move further?",no,"Based on the video, the left disk moves a greater distance than the right disk.

Yes",yes,0,,,,gemini_3_pro_motionblindv2_default_random8.json
random,8,none,83,20,videos/09_06_1.mp4,"From the camera's point of view, does the left disk move further?",yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random8.json
