strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file,duration,task_type
hornet,24,none,0,,videos/fFjv93ACGo8.mp4,"When demonstrating the Germany modern Christmas tree is initially decorated with apples, candles and berries, which kind of the decoration has the largest number?
A. Apples.
B. Candles.
C. Berries.
D. The three kinds are of the same number.",c,"Based on the historical context of the German Christmas tree (the ""Paradise Tree"") shown in the video, the decoration with the largest number is:

**A. Apples.**

In the early traditions of the ""Paradise Tree"" (often depicted in the medieval-style illustrations shown in the video), the tree was heavily laden with apples to represent the Garden of Eden. While candles and berries were used, the apples were the primary and most numerous decoration.",a,0,,,,gemma4it_vmme_hornet24.json,short,Counting Problem
hornet,24,none,1,,videos/fFjv93ACGo8.mp4,"What is the genre of this video?
A. It is a news report that introduces the history behind Christmas decorations.
B. It is a documentary on the evolution of Christmas holiday recipes.
C. It is a travel vlog exploring Christmas markets around the world.
D. It is a tutorial on DIY Christmas ornament crafting.",a,A,a,1,,,,gemma4it_vmme_hornet24.json,short,Information Synopsis
hornet,24,none,2,,videos/fFjv93ACGo8.mp4,"How many red socks are above the fireplace at the end of this video?
A. 1.
B. 4.
C. 2.
D. 3.",d,The correct answer is C.,c,0,,,,gemma4it_vmme_hornet24.json,short,Counting Problem
hornet,24,none,3,,videos/N1cdUjctpG8.mp4,"Which of the following features/items is not discussed in the video in relation to the tomb?
A. Inkstone.
B. Niche.
C. Jade.
D. Sacrificial table.",c,"Based on the video provided, the following items are shown or discussed in relation to the Ming Dynasty tomb:

*   **Niche:** Shown in the final sequence of images (01:01 to 01:26) as a stone structure with a door.
*   **Sacrificial table:** Shown in the interior shots (00:30 to 00:38) as a large wooden table in the center of the room.
*   **Jade:** Mentioned/shown in the context of the artifacts (the video shows various pottery and items, and ""jade"" is a",,0,,,,gemma4it_vmme_hornet24.json,short,Object Recognition
hornet,24,none,4,,videos/N1cdUjctpG8.mp4,"Which of the following reasons motivated the archaeologists to excavate the tomb?
A. Because it's from Ming Dynasty and of specific archaeological significance.
B. Because a new railway line will be built nearby.
C. Because there were treasures inside the tomb.
D. Highway realignment.",d,"Based on the provided images and the context of archaeological discoveries in China, the correct answer is **D. Highway realignment.**

While the images showcase the historical and artistic significance of the Ming Dynasty tomb (such as the pottery, murals, and architecture), archaeological excavations in this region are frequently triggered by infrastructure projects like highway construction or railway expansion, which necessitate the preservation or relocation of historical sites.",d,1,,,,gemma4it_vmme_hornet24.json,short,Action Reasoning
hornet,24,none,5,,videos/N1cdUjctpG8.mp4,"How many porcelain jars were discovered in the niches located in the primary chamber of the tomb?
A. 4.
B. 9.
C. 5.
D. 13.",b,"Based on the visual evidence provided in the video, specifically at the 00:11 mark, there are 9 porcelain jars visible in the niches of the primary chamber.

B",b,1,,,,gemma4it_vmme_hornet24.json,short,Counting Problem
hornet,24,none,6,,videos/HIjX8OPuf-w.mp4,"How many national flags appear in the video?
A. 3.
B. 4.
C. 2.
D. 5.",b,The correct answer is C.,c,0,,,,gemma4it_vmme_hornet24.json,short,Counting Problem
hornet,24,none,7,,videos/HIjX8OPuf-w.mp4,"What is the video telling when the burger placed in the upper right corner at the end of the video first appears?
A. Beef with spices came from Russia to Germany.
B. The steak began to be sandwiched between two pieces of bread.
C. Steak burgers spread throughout the United States.
D. The standardization of hamburgers.",c,The correct answer is C.,c,1,,,,gemma4it_vmme_hornet24.json,short,Object Recognition
hornet,24,none,8,,videos/HIjX8OPuf-w.mp4,"In which country is the food featured in the video recognized worldwide?
A. Mongolia.
B. Russia.
C. Germany.
D. United States.",d,"thought
<channel|>The correct answer is D. United States.",d,1,,,,gemma4it_vmme_hornet24.json,short,Object Reasoning
hornet,24,none,9,,videos/HwnB8aCn8yE.mp4,"According to the video, which of the following is considered the earliest stage of human evolution?
A. Ramapithecus.
B. Dryopithecus.
C. Ardipithecus Ramidus.
D. Homo Sapiens.",b,"Based on the video, the earliest stage shown is **Dryopithecus**, which lived 15 to 20 million years ago.

B",b,1,,,,gemma4it_vmme_hornet24.json,short,Temporal Perception
hornet,24,none,10,,videos/HwnB8aCn8yE.mp4,"According to the video, in which state did human's ancestors first begin to walk on two legs?
A. Dryopithecus.
B. Ramapithecus.
C. Ardipithecus Ramidus.
D. Homo Habilis.",b,"Based on the video, the transition to walking on two legs (bipedalism) begins to appear with **Ardipithecus Ramidus**.

While *Dryopithecus* and *Ramapithecus* are shown in a knuckle-walking or more primitive quadrupedal posture, the silhouette for *Ardipithecus Ramidus* (at 00:18) shows the first clear shift toward a bipedal stance.

C",c,0,,,,gemma4it_vmme_hornet24.json,short,Object Recognition
hornet,24,none,11,,videos/HwnB8aCn8yE.mp4,"Given the information provided by the video, during which stage of human evolution did the regression of body hair occur rapidly?
A. Dryopithecus.
B. Homo Sapiens.
C. Ardipithecus Ramidus.
D. Homo Sapiens Neanderthalensi.",d,"Based on the visual progression in the video, the regression of body hair is most prominent and rapid during the transition to the **Homo Sapiens** stages (starting around 01:15). While earlier ancestors like *Dryopithecus* and *Ramapithecus* are depicted with significant body hair, the *Homo* genus shows a clear and rapid reduction in hair coverage compared to the earlier hominids.

B",b,0,,,,gemma4it_vmme_hornet24.json,short,Object Recognition
hornet,24,none,12,,videos/24i4ncHuf6A.mp4,"According to the video, how many individuals were in the car when Archduke Franz Ferdinand was assassinated?
A. Three.
B. Two.
C. One.
D. Four.",a,"Based on the video at 00:10, there are two individuals in the car.

B",b,0,,,,gemma4it_vmme_hornet24.json,short,Counting Problem
hornet,24,none,13,,videos/24i4ncHuf6A.mp4,"What's the trigger that set off the war mentioned in the video?
A. Militarisim.
B. The assasination of Archduke Franze Fredinand.
C. King Edward III of England's claim to the French throne.
D. Germany's blitzkrieg against Poland.",b,"Based on the video content, the correct answer is **B. The assassination of Archduke Franze Fredinand.**

While the video lists ""Militarism, Alliances, Imperialism, and Nationalism"" as the underlying causes (the ""MAIN"" causes), the specific trigger event that set off the war is the assassination of Archduke Franz Ferdinand (depicted in the animation at 01:19).",b,1,,,,gemma4it_vmme_hornet24.json,short,Action Reasoning
hornet,24,none,14,,videos/24i4ncHuf6A.mp4,"Which of the following options is incorrect regarding the events in Sarajevo depicted in the video?
A. It was organized by the Black Hand in Serbia.
B. Ferdinand was sitting on the left side of the car.
C. Ferdinand was wearing a white hat.
D. The killer was wearing black suit.",c,"Based on the video provided, the correct answer is **C**.

Here is the breakdown of the events shown in the video (specifically at 00:10 and 00:14):
*   **A is correct:** The video implies the context of the assassination (the ""Black Hand"" is a historical fact associated with this event, and the video depicts the assassination).
*   **B is correct:** At 00:14, Archduke Ferdinand is shown sitting on the left side of the car (from the viewer's perspective/the car's direction).
*   **C",c,1,,,,gemma4it_vmme_hornet24.json,short,Attribute Perception
hornet,24,none,15,,videos/40BlVzjxu-I.mp4,"What is one of the symbols of the festival that is introduced by the video?
A. Turkey.
B. Moose.
C. Moon cake.
D. Shamrock.",d,The correct answer is D. Shamrock.,d,1,,,,gemma4it_vmme_hornet24.json,short,Object Reasoning
