strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file,duration,task_type
uniform,8,none,0,,videos/fFjv93ACGo8.mp4,"When demonstrating the Germany modern Christmas tree is initially decorated with apples, candles and berries, which kind of the decoration has the largest number?
A. Apples.
B. Candles.
C. Berries.
D. The three kinds are of the same number.",c,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Counting Problem
uniform,8,none,1,,videos/fFjv93ACGo8.mp4,"What is the genre of this video?
A. It is a news report that introduces the history behind Christmas decorations.
B. It is a documentary on the evolution of Christmas holiday recipes.
C. It is a travel vlog exploring Christmas markets around the world.
D. It is a tutorial on DIY Christmas ornament crafting.",a,The correct answer is A.,a,1,,,,gemma4it_vmme_uniform8.json,short,Information Synopsis
uniform,8,none,2,,videos/fFjv93ACGo8.mp4,"How many red socks are above the fireplace at the end of this video?
A. 1.
B. 4.
C. 2.
D. 3.",d,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Counting Problem
uniform,8,none,3,,videos/N1cdUjctpG8.mp4,"Which of the following features/items is not discussed in the video in relation to the tomb?
A. Inkstone.
B. Niche.
C. Jade.
D. Sacrificial table.",c,"Based on the visual content of the video:

*   **Niche:** Shown in the final sequence of images (01:01 to 01:26) as a small door-like structure in the wall.
*   **Sacrificial table:** Shown in the third image (00:37) as a central altar-like structure with offerings.
*   **Jade:** While not explicitly labeled, the items in the second image (00:12) and the artifacts on the sacrificial table are typical of tomb grave goods, and the prompt implies a comparison of specific features shown.",,0,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,4,,videos/N1cdUjctpG8.mp4,"Which of the following reasons motivated the archaeologists to excavate the tomb?
A. Because it's from Ming Dynasty and of specific archaeological significance.
B. Because a new railway line will be built nearby.
C. Because there were treasures inside the tomb.
D. Highway realignment.",d,"Based on the provided images and captions, the archaeologists are documenting a ""well-preserved tomb dating to the Ming Dynasty (1368-1644)"" and a ""tomb discovered in the Zhoujiazhuang site."" The focus of the presentation is on the historical and cultural significance of the site (showing artifacts, interior decorations, and architectural details).

While the specific reason for the *initial* excavation (e.g., construction vs. research) is not explicitly stated in the text of the images, in the context of archaeological reporting of such significant historical sites, the primary motivation for the preservation and documentation shown is",,0,,,,gemma4it_vmme_uniform8.json,short,Action Reasoning
uniform,8,none,5,,videos/N1cdUjctpG8.mp4,"How many porcelain jars were discovered in the niches located in the primary chamber of the tomb?
A. 4.
B. 9.
C. 5.
D. 13.",b,"Based on the image at 00:12, there are 9 porcelain jars visible in the niches of the primary chamber.

B",b,1,,,,gemma4it_vmme_uniform8.json,short,Counting Problem
uniform,8,none,6,,videos/HIjX8OPuf-w.mp4,"How many national flags appear in the video?
A. 3.
B. 4.
C. 2.
D. 5.",b,The correct answer is C.,c,0,,,,gemma4it_vmme_uniform8.json,short,Counting Problem
uniform,8,none,7,,videos/HIjX8OPuf-w.mp4,"What is the video telling when the burger placed in the upper right corner at the end of the video first appears?
A. Beef with spices came from Russia to Germany.
B. The steak began to be sandwiched between two pieces of bread.
C. Steak burgers spread throughout the United States.
D. The standardization of hamburgers.",c,The correct answer is C.,c,1,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,8,,videos/HIjX8OPuf-w.mp4,"In which country is the food featured in the video recognized worldwide?
A. Mongolia.
B. Russia.
C. Germany.
D. United States.",d,The correct answer is D. United States.,d,1,,,,gemma4it_vmme_uniform8.json,short,Object Reasoning
uniform,8,none,9,,videos/HwnB8aCn8yE.mp4,"According to the video, which of the following is considered the earliest stage of human evolution?
A. Ramapithecus.
B. Dryopithecus.
C. Ardipithecus Ramidus.
D. Homo Sapiens.",b,"Based on the video provided, the earliest stage shown is **Ramapithecus**, which lived 7 million years ago.

A",a,0,,,,gemma4it_vmme_uniform8.json,short,Temporal Perception
uniform,8,none,10,,videos/HwnB8aCn8yE.mp4,"According to the video, in which state did human's ancestors first begin to walk on two legs?
A. Dryopithecus.
B. Ramapithecus.
C. Ardipithecus Ramidus.
D. Homo Habilis.",b,"Based on the video provided, the first ancestor shown walking on two legs (bipedalism) is **Ramapithecus**.

The sequence shows:
1. **Dryopithecus** (00:00) - Walking on all fours.
2. **Ramapithecus** (00:13) - Transitioning to a semi-upright, bipedal stance.
3. **Australopithecus Anamensis** (00:27) - Walking upright.
4. **Australopithecus Afarensis** (00:41) - Walking upright.
5",,0,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,11,,videos/HwnB8aCn8yE.mp4,"Given the information provided by the video, during which stage of human evolution did the regression of body hair occur rapidly?
A. Dryopithecus.
B. Homo Sapiens.
C. Ardipithecus Ramidus.
D. Homo Sapiens Neanderthalensi.",d,"Based on the visual progression in the video, the regression of body hair is most prominent and complete in the final stages of human evolution shown.

Comparing the early ancestors (like *Ramapithecus* and *Australopithecus*) to the later stages, the transition to a nearly hairless body is clearly established in the *Homo* genus. Among the options provided:

*   **A. Dryopithecus** is not shown in the video.
*   **C. Ardipithecus Ramidus** is not shown in the video.
*   **D. Homo Sapiens Neanderthalensi** shows a significant reduction",d,1,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,12,,videos/24i4ncHuf6A.mp4,"According to the video, how many individuals were in the car when Archduke Franz Ferdinand was assassinated?
A. Three.
B. Two.
C. One.
D. Four.",a,"Based on the video provided, there is no information or scene showing a car or the assassination of Archduke Franz Ferdinand. The video focuses on the concepts of militarism and imperialism, showing a map of Europe and various historical figures.

Therefore, the question cannot be answered using the provided video.",,0,,,,gemma4it_vmme_uniform8.json,short,Counting Problem
uniform,8,none,13,,videos/24i4ncHuf6A.mp4,"What's the trigger that set off the war mentioned in the video?
A. Militarisim.
B. The assasination of Archduke Franze Fredinand.
C. King Edward III of England's claim to the French throne.
D. Germany's blitzkrieg against Poland.",b,"Based on the visual sequence provided, which depicts the buildup of tensions leading to World War I (Militarism, Imperialism, and the alliance systems), the specific historical trigger for the war is:

**B. The assassination of Archduke Franz Ferdinand.**",b,1,,,,gemma4it_vmme_uniform8.json,short,Action Reasoning
uniform,8,none,14,,videos/24i4ncHuf6A.mp4,"Which of the following options is incorrect regarding the events in Sarajevo depicted in the video?
A. It was organized by the Black Hand in Serbia.
B. Ferdinand was sitting on the left side of the car.
C. Ferdinand was wearing a white hat.
D. The killer was wearing black suit.",c,"Based on the video provided, the correct answer is **C**.

Here is the breakdown of the events shown in the Sarajevo assassination scene:
*   **A is correct:** The video shows the ""Black Hand"" (represented by the Serbian flag/context) as the organizing force.
*   **B is correct:** In the animation, Archduke Ferdinand is shown sitting on the left side of the car.
*   **C is incorrect:** Ferdinand is depicted wearing a **black hat** (a top hat), not a white hat.
*   **D is correct:** The assassin is shown wearing a dark/black",d,0,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,15,,videos/40BlVzjxu-I.mp4,"What is one of the symbols of the festival that is introduced by the video?
A. Turkey.
B. Moose.
C. Moon cake.
D. Shamrock.",d,The correct answer is D. Shamrock.,d,1,,,,gemma4it_vmme_uniform8.json,short,Object Reasoning
uniform,8,none,16,,videos/40BlVzjxu-I.mp4,"What happened when Irish imiggrants brought the tradition of St. Patrick's Day to America?
A. They began to center around drinking and celebrating the festival.
B. St. Patrick moved to America.
C. They celebrated St. Patrick's birth instead.
D. They attended the church and gather for feasts.",a,"Based on the visual information provided in the video sequence:

1.  The first image shows a parade atmosphere.
2.  The second image mentions ""BRITISH"" and ""BORN IN LATE [17th] TH"" (referring to the historical context of the era).
3.  The third image shows a map of Ireland and England with a path leading to Ireland, and the text ""RETURNED TO IRELAND.""
4.  The fourth image explicitly features the word **""DRINKING""** next to a large beer mug.
5.  The fifth image notes the ""1",,0,,,,gemma4it_vmme_uniform8.json,short,Temporal Reasoning
uniform,8,none,17,,videos/40BlVzjxu-I.mp4,"What is special about the celebration in New York according to the video?
A. Hosting large parades.
B. Dressing in green and dyeing the river to green.
C. Drinking a lot.
D. Planting shamrocks.",a,The correct answer is A. Hosting large parades.,a,1,,,,gemma4it_vmme_uniform8.json,short,Action Recognition
uniform,8,none,18,,videos/0ay2Qy3wBe8.mp4,"How is the smoke generated by the man depicted in the video?
A. By burning a piece of cloth.
B. By lighting a torch.
C. By smoking.
D. By lighting a bonefire.",d,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Action Recognition
uniform,8,none,19,,videos/0ay2Qy3wBe8.mp4,"What kind of communication is listed before Semaphore?
A. Telephone.
B. Homing pigeon.
C. Telegraph.
D. Pony express.",d,"Based on the sequence of communication methods shown in the video:

1.  **The Smoke Signal** (00:10)
2.  **Homing Pigeon** (00:21)
3.  **Telegraph** (00:32)
4.  **The Telephone** (00:43)
5.  **Email** (00:54)

While ""Semaphore"" is not explicitly shown in the provided clips, in the context of historical communication timelines (and the progression of this specific video), the **Telegraph** (C) typically precedes",c,0,,,,gemma4it_vmme_uniform8.json,short,Temporal Reasoning
uniform,8,none,20,,videos/0ay2Qy3wBe8.mp4,"What is the specific sentence in the smart phone that makes the man embarrassed?
A. BTW...you got something in your teeth!
B. Dude! You gotta come toBigStuf Camps!
C. Smoke Sig 2.0.
D. Last but not least.",a,The correct answer is **A. BTW...you got something in your teeth!**,a,1,,,,gemma4it_vmme_uniform8.json,short,OCR Problems
uniform,8,none,21,,videos/_tvmjsKXTu8.mp4,"In the video, what color pen did the author use when he wrote ""guitar"" for the second time?
A. Brown.
B. Blue.
C. Black.
D. Pink.",d,"The author used a blue pen to write ""guitar"" for the second time.

B",b,0,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,22,,videos/_tvmjsKXTu8.mp4,"How many different guitar-shaped instruments are there in the video?
A. 2.
B. 7.
C. 3.
D. 11.",b,The correct answer is C.,c,0,,,,gemma4it_vmme_uniform8.json,short,Counting Problem
uniform,8,none,23,,videos/_tvmjsKXTu8.mp4,"What does the second half of the video show?
A. An advertisement for a music software.
B. A tutorial on how to practice guitar on electronic devices.
C. The history of guitar software on electronic devices.
D. An advertisement for a tablet computer.",a,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Information Synopsis
uniform,8,none,24,,videos/sUDY-SMREtA.mp4,"Which color of clothes is QuYuan wearing in the video?
A. White.
B. Blue.
C. Brown.
D. Yellow.",a,The correct answer is A.,a,1,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,25,,videos/sUDY-SMREtA.mp4,"Based on the video, which day does the festival fall on the lunar calendar?
A. January 1th.
B. May 5th.
C. September 9th.
D. May 15th.",b,"Based on the video, the text at 00:43 states that ""People in China head to the fifth day of May as Dragon Boat Festival.""

Therefore, the correct answer is **B**.",b,1,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,26,,videos/sUDY-SMREtA.mp4,"According to the video, which of the following is the main reason why people commemorate Qu Yuan?
A. Because people love Zongzi.
B. Because he committed suicide by drowing himself in Miluo River.
C. Because he brought peace and prosperity to the state.
D. Because he was exile.",c,"Based on the video, the correct answer is **B**.

The video explains that Qu Yuan was a great patriotic poet who was ""maliciously accused by inferior"" (00:21) and subsequently ""committed suicide by drowning himself in Miluo River"" (00:32). People commemorate him by racing dragon boats and eating Zongzi to honor his sacrifice.",b,0,,,,gemma4it_vmme_uniform8.json,short,Action Reasoning
uniform,8,none,27,,videos/PSt_op3fQck.mp4,"What can be learned from this video?
A. The history of intercultural conflicts and disputes.
B. Quick ways to grasp the fundamentals of intercultural communication. understanding.
C. Techniques for mastering a foreign language in a short period of time.
D. Strategies for resolving international political conflicts.",c,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Information Synopsis
uniform,8,none,28,,videos/PSt_op3fQck.mp4,"What is the pattern on the clothing of the staff who is behaving informally at the airline counter?
A. A flower.
B. A coconut tree.
C. A flying bird.
D. None of the above.",a,The correct answer is D. None of the above.,d,0,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,29,,videos/PSt_op3fQck.mp4,"At the end of the animation, which place does not the copilot travel to?
A. The White House.
B. The Big Ben.
C. The Egyptian Pyramids.
D. The Eiffel Tower.",b,"Based on the animation provided, the copilot travels to the Eiffel Tower (shown at 01:22 and 01:38). The other locations mentioned in the options (The White House, Big Ben, and the Egyptian Pyramids) are not shown in the animation. However, since the question asks which place the copilot does *not* travel to among the choices, and only the Eiffel Tower is shown, the question implies a selection from a set of potential destinations.

Looking at the sequence, the copilot is shown flying over the Eiffel Tower. There is no visual evidence of the copilot traveling",,0,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,30,,videos/OE5S-NbNsro.mp4,"What is the kind of the dance in the video?
A. Hip hop.
B. Jazz.
C. Ballet.
D. Folk dance.",c,"The kind of dance in the video is ballet.

C",c,1,,,,gemma4it_vmme_uniform8.json,short,Action Reasoning
uniform,8,none,31,,videos/OE5S-NbNsro.mp4,"What's the color of the cosmos introduced by the video?
A. White.
B. Black.
C. Navy blue.
D. Dark purple.",b,The correct answer is B.,b,1,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,32,,videos/OE5S-NbNsro.mp4,"What are the moves in the last scene of this dance?
A. Kneel down on one knee and lean back.
B. Passe and then chasse.
C. Releve and then pirouette.
D. Passe and then Grand jete.",a,The correct answer is A.,a,1,,,,gemma4it_vmme_uniform8.json,short,Action Recognition
uniform,8,none,33,,videos/qvwfWyU9Gfc.mp4,"Based on the video, which of the following describes the reason why the student ate the banana?
A. Because the banana looks tasty.
B. Because he considered the process of eating a banana is art.
C. Because he didn't think the  banana worth $120,000.
D. Because he wanted to followed the man who ate a banana in a exhibition in 2019.",b,"Based on the video, the correct answer is **B**.

At 00:16, the text states that Noh Hyun-soo ate the fruit because he was ""hungry,"" but the context of the video (an art museum setting) and the subsequent interview with the curator (starting at 00:32) explain that the act was interpreted as a performance or a response to the art piece. The curator notes that ""everyone [was] thinking how can we answer Maurizio?"" and describes it as a significant moment in art history, implying the act of eating it was viewed as a form of artistic interaction or performance.",b,1,,,,gemma4it_vmme_uniform8.json,short,Action Reasoning
uniform,8,none,34,,videos/qvwfWyU9Gfc.mp4,"What did the student do after eating the banana in the video?
A. He ate a banana in exhibition again in 2019.
B. He throwed the skin of banana.
C. He reattached the skin of banana using the same tape.
D. The action of eating a banana was considered art.",c,"Based on the video, the correct answer is **D. The action of eating a banana was considered art.**

The video explains that the banana was part of Maurizio Cattelan's ""Comedian"" installation. When the student (Noh Hyun-soo) ate the fruit, it was framed as a performance or interaction with the artwork, and the video highlights that ""everyone [was] thinking how can we answer Maurizio?"" and that it was a significant moment in art history.",d,0,,,,gemma4it_vmme_uniform8.json,short,Temporal Reasoning
uniform,8,none,35,,videos/qvwfWyU9Gfc.mp4,"What's the color of the tape in the video?
A. Green.
B. Black.
C. Yellow.
D. Gray.",d,The correct answer is D. Gray.,d,1,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,36,,videos/5wLv3pCqZ9o.mp4,"Which of the following is visible in the background of the video when the miniature bottle is shown empty?
A. Water.
B. Cork.
C. Shells.
D. Star.",c,The correct answer is C. Shells.,c,1,,,,gemma4it_vmme_uniform8.json,short,Spatial Perception
uniform,8,none,37,,videos/5wLv3pCqZ9o.mp4,"According to the video, which of the following ingredients is not used in the artwork?
A. Shell.
B. Glue.
C. Blue Food Dye.
D. Oil.",a,"Based on the video provided, the ingredients used in the artwork are:
- **Shells** (seen in the background and foreground of several shots).
- **Glue** (specifically E6000 glue, shown at 00:20 and 00:51).
- **Blue Food Dye** (shown being added at 00:41).

The video does not show or mention the use of **Oil**.

D",d,0,,,,gemma4it_vmme_uniform8.json,short,Action Reasoning
uniform,8,none,38,,videos/5wLv3pCqZ9o.mp4,"What was the next step taken by the operator after filling the bottle with oil?
A. Applied glue to cork.
B. Added blue food dye.
C. Added 1/3 water.
D. Put the cork on the bottle.",a,The correct answer is C.,c,0,,,,gemma4it_vmme_uniform8.json,short,Action Recognition
uniform,8,none,39,,videos/uqILuTcux_o.mp4,"Which of the following can be identified as Susan White-Oakes' most recent art piece, based on the video?
A. A tiger.
B. A bird.
C. A fish.
D. A pangolin.",d,D,d,1,,,,gemma4it_vmme_uniform8.json,short,Object Recognition
uniform,8,none,40,,videos/uqILuTcux_o.mp4,"Based on the video, what is Susan White-Oakes' latest art work made of?
A. Silver.
B. Iron.
C. Bronze.
D. Copper.",d,D,d,1,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,41,,videos/uqILuTcux_o.mp4,"What does Susan White-Oakes often do before polishing the whole body?
A. She sculptures the legs.
B. She attaches the copper scales to the body.
C. She decides what size the head should be.
D. She shapes the claws.",c,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Temporal Reasoning
uniform,8,none,42,,videos/eXKE0nAMmg4.mp4,"Which elements are depicted in the painting introduced by the video?
A. A little girl and a red balloon.
B. A little boy and a red balloon.
C. A little girl and a blue balloon.
D. An adult and a blue balloon.",a,The correct answer is B.,b,0,,,,gemma4it_vmme_uniform8.json,short,Attribute Perception
uniform,8,none,43,,videos/eXKE0nAMmg4.mp4,"Based on the video, what happened when the painting was sold?
A. Someone put a shredder inside the painting.
B. The buyer was very happy because it got more worthy.
C. It disapeared.
D. It shredded into pieces.",d,D,d,1,,,,gemma4it_vmme_uniform8.json,short,Action Recognition
uniform,8,none,44,,videos/eXKE0nAMmg4.mp4,"Based on the information provided by the video, which of the following statements is not correct?
A. The painting got more expensive because it shredded.
B. The buyer put a shredder inside the painting many years ago.
C. People in the auction house were stunned when the painting shredded.
D. Banksky considered the shredding of painting is part of art.",b,"Based on the video provided, the correct answer is **B**.

Here is the breakdown:
*   **A is correct:** The video shows the painting's value increasing/being discussed in the context of the shredding event.
*   **B is incorrect:** The text at 00:43 states, ""I secretly built a shredder into a painting,"" referring to the artist (Banksy), not the buyer.
*   **C is correct:** The footage at 00:14 and 00:58 shows the shocked reactions of the crowd and auctioneers.
*",c,0,,,,gemma4it_vmme_uniform8.json,short,Object Reasoning
