strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
hornet,8,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No.,no,0,0 36 146 232 293 330 342 366,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No.,no,1,0 73 97 134 171 220 256 366,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No.,no,1,0 36 146 232 293 330 342 366,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No.,no,0,0 73 97 134 171 220 256 366,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No.,no,0,36 114 120 126 132 138 144 162,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No.,no,1,48 54 60 66 72 78 96 156,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No.,no,1,36 114 120 126 132 138 144 162,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No.,no,0,48 54 60 66 72 78 96 156,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No.,no,0,86 90 94 101 105 109 113 117,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No.,no,1,49 56 60 71 75 79 83 86,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No.,no,1,86 90 94 101 105 109 113 117,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No.,no,0,49 56 60 71 75 79 83 86,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No.,no,0,27 32 36 41 45 50 137 142,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No.,no,1,82 87 119 123 128 132 137 142,,,motion_o_mb_default_hornet8_full.json
hornet,8,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No.,no,1,27 32 36 41 45 50 137 142,,,motion_o_mb_default_hornet8_full.json
