strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,8,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,0 54 108 162 217 271 325 379,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,0 54 108 162 217 271 325 379,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,0 54 108 162 217 271 325 379,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,0 54 108 162 217 271 325 379,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,0 27 53 80 107 134 160 187,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,0 27 53 80 107 134 160 187,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,0 27 53 80 107 134 160 187,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,0 27 53 80 107 134 160 187,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,0 17 33 50 67 84 100 117,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,0 17 33 50 67 84 100 117,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,0 17 33 50 67 84 100 117,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,0 17 33 50 67 84 100 117,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,0 20 41 61 81 101 122 142,,,inkling_small_mbhuman_uniform8.json
uniform,8,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,0 20 41 61 81 101 122 142,,,inkling_small_mbhuman_uniform8.json
